今日(2023-07-07)共有3支新债上市,目前市面上活跃转债数量为498支
今日转股价变化监控：
111004.SH 明新转债转股价昨日为24.51,今日为24.41,变化幅度为-0.41%
113627.SH 太平转债转股价昨日为49.94,今日为49.79,变化幅度为-0.3%
127006.SZ 敖东转债转股价昨日为14.5,今日为14.21,变化幅度为-2.0%
110090.SH 爱迪转债转股价昨日为18.7,今日为18.57,变化幅度为-0.7%
127014.SZ 北方转债转股价昨日为7.8,今日为7.74,变化幅度为-0.77%
113641.SH 华友转债转股价昨日为84.0,今日为81.53,变化幅度为-2.94%
128056.SZ 今飞转债转股价昨日为6.0,今日为5.99,变化幅度为-0.17%
118006.SH 阿拉转债转股价昨日为39.86,今日为28.29,变化幅度为-29.03%
113047.SH 旗滨转债转股价昨日为12.01,今日为11.76,变化幅度为-2.08%
113579.SH 健友转债转股价昨日为24.65,今日为24.54,变化幅度为-0.45%
113636.SH 甬金转债转股价昨日为35.0,今日为34.5,变化幅度为-1.43%
118005.SH 天奈转债转股价昨日为153.43,今日为103.8,变化幅度为-32.35%
113615.SH 金诚转债转股价昨日为12.55,今日为12.43,变化幅度为-0.96%
